Age,Name,Value,Overall,Potential,Dribbling,Finishing,ShortPassing,LongPassing,Composure,Vision,Acceleration,SprintSpeed,International Reputation,BMI
31,L. Messi,110500000,94,94,97.0,95.0,90.0,87.0,96.0,94.0,91.0,86.0,5.0,24.88949890983304
33,Cristiano Ronaldo,77000000,94,94,88.0,94.0,81.0,77.0,95.0,82.0,89.0,91.0,5.0,23.48347668628339
26,Neymar Jr,118500000,92,93,96.0,87.0,84.0,78.0,94.0,87.0,94.0,90.0,5.0,22.12814866471266
27,De Gea,72000000,91,93,18.0,13.0,50.0,51.0,68.0,68.0,57.0,58.0,4.0,20.456925018121293
27,K. De Bruyne,102000000,91,92,86.0,82.0,92.0,91.0,88.0,94.0,78.0,76.0,4.0,21.50233987908856
27,E. Hazard,93000000,91,91,95.0,84.0,89.0,83.0,91.0,89.0,94.0,88.0,4.0,24.777629991192043
32,L. Modrić,67000000,91,91,90.0,72.0,93.0,88.0,84.0,92.0,80.0,72.0,4.0,22.19592835476202
31,L. Suárez,80000000,91,91,87.0,93.0,82.0,64.0,85.0,84.0,86.0,75.0,5.0,25.767949155232767
32,Sergio Ramos,51000000,91,91,63.0,60.0,78.0,77.0,82.0,63.0,76.0,75.0,4.0,24.542327443672967
25,J. Oblak,68000000,90,93,12.0,11.0,29.0,26.0,70.0,70.0,43.0,60.0,3.0,24.643503847894976
29,R. Lewandowski,77000000,90,90,85.0,91.0,83.0,65.0,86.0,77.0,77.0,78.0,4.0,23.8547835567004
28,T. Kroos,76500000,90,90,81.0,76.0,92.0,93.0,85.0,86.0,64.0,62.0,4.0,22.778627907525948
32,D. Godín,44000000,90,90,53.0,42.0,79.0,70.0,82.0,52.0,68.0,68.0,3.0,22.06880941602536
32,David Silva,60000000,90,90,89.0,76.0,93.0,87.0,93.0,92.0,70.0,64.0,4.0,22.4976856888902
27,N. Kanté,63000000,89,90,79.0,65.0,86.0,81.0,85.0,79.0,82.0,78.0,3.0,25.667716634104384
24,P. Dybala,89000000,89,94,92.0,84.0,87.0,75.0,84.0,87.0,87.0,83.0,3.0,23.66127181233954
24,H. Kane,83500000,89,91,80.0,94.0,80.0,82.0,89.0,80.0,68.0,72.0,3.0,25.15278406518787
27,A. Griezmann,78000000,89,90,88.0,90.0,83.0,76.0,87.0,83.0,88.0,85.0,4.0,23.755218419470943
26,M. ter Stegen,58000000,89,92,17.0,14.0,36.0,42.0,69.0,69.0,38.0,50.0,3.0,23.99275690357628
26,T. Courtois,53500000,89,90,13.0,14.0,33.0,35.0,66.0,44.0,46.0,52.0,4.0,24.513545007709546
29,Sergio Busquets,51500000,89,89,80.0,67.0,89.0,82.0,90.0,87.0,50.0,52.0,4.0,21.55952919873246
31,E. Cavani,60000000,89,89,80.0,89.0,78.0,52.0,82.0,77.0,75.0,76.0,4.0,22.4302915414236
32,M. Neuer,38000000,89,89,30.0,13.0,55.0,59.0,70.0,70.0,54.0,60.0,5.0,24.72549598646944
30,S. Agüero,64500000,89,89,89.0,93.0,81.0,64.0,90.0,83.0,88.0,80.0,4.0,23.43648628395567
33,G. Chiellini,27000000,89,89,58.0,33.0,59.0,59.0,84.0,50.0,63.0,75.0,4.0,23.99275690357628
19,K. Mbappé,81000000,88,95,90.0,88.0,82.0,73.0,86.0,82.0,96.0,96.0,3.0,23.09188291845972
26,M. Salah,69500000,88,89,89.0,90.0,82.0,72.0,91.0,82.0,94.0,91.0,3.0,23.169473307757965
26,Casemiro,59500000,88,90,69.0,59.0,85.0,82.0,84.0,77.0,59.0,65.0,3.0,24.40857925195123
26,J. Rodríguez,69500000,88,89,85.0,83.0,89.0,83.0,87.0,89.0,73.0,67.0,4.0,23.99402733288852
27,L. Insigne,62000000,88,88,90.0,77.0,85.0,78.0,83.0,87.0,94.0,86.0,3.0,22.315721312194675
26,Isco,73500000,88,91,94.0,79.0,89.0,83.0,86.0,89.0,75.0,69.0,3.0,25.67516073008572
26,C. Eriksen,73500000,88,91,84.0,80.0,91.0,88.0,88.0,91.0,75.0,73.0,3.0,23.44031900982186
26,Coutinho,69500000,88,89,91.0,79.0,88.0,83.0,85.0,90.0,89.0,75.0,3.0,22.799443023018387
29,P. Aubameyang,59000000,88,88,79.0,88.0,77.0,64.0,86.0,77.0,93.0,95.0,3.0,22.578089633318243
29,M. Hummels,46000000,88,88,68.0,55.0,81.0,85.0,91.0,79.0,53.0,64.0,4.0,25.37871742410152
30,Marcelo,43000000,88,88,90.0,70.0,84.0,76.0,86.0,82.0,83.0,82.0,4.0,25.96803328594221
28,G. Bale,60000000,88,88,87.0,86.0,85.0,80.0,86.0,79.0,94.0,95.0,4.0,23.88491485798803
